CustomerID,source_run_generated_at,Recency,Frequency,Monetary,avg_basket_value,unique_products,DominantCountry,churn_probability,churn_prediction,churn_risk_tier,churn_label,segment,segment_churn_rate,anomaly_flag,anomaly_score,customer_value_tier,priority_rank,priority_score,recommended_action,action_reason,retention_offer_type,cross_sell_signal,next_best_offer
15413,2026-06-03T04:00:35+00:00,591,5,6138.4,1227.6799999999998,20,United Kingdom,0.8171665162580911,1,High,1,0,0.9003,True,0.41559765,High,1,120,Retain immediately,High churn risk and high value; anomaly flagged,High-touch voucher,No,
13935,2026-06-03T04:00:35+00:00,496,3,6038.52,2012.84,67,United Kingdom,0.740461166892349,1,High,1,0,0.9003,True,0.7498656,High,2,120,Retain immediately,High churn risk and high value; anomaly flagged,High-touch voucher,No,
14091,2026-06-03T04:00:35+00:00,554,2,4962.8,2481.4,13,United Kingdom,0.8514605670808744,1,High,1,0,0.9003,True,1.4721088,High,3,120,Retain immediately,High churn risk and high value; anomaly flagged,High-touch voucher,No,
16749,2026-06-03T04:00:35+00:00,491,2,4300.68,2150.34,53,United Kingdom,0.77199813769039,1,High,1,0,0.9003,True,0.3829442,High,4,120,Retain immediately,High churn risk and high value; anomaly flagged,High-touch voucher,No,
13902,2026-06-03T04:00:35+00:00,532,5,2760.98,552.196,58,Denmark,0.7707856312736997,1,High,1,0,0.9003,True,2.1910546,High,5,120,Retain immediately,High churn risk and high value; anomaly flagged,High-touch voucher,No,
15077,2026-06-03T04:00:35+00:00,394,2,2428.08,1214.04,28,United Kingdom,0.7530368085701503,1,High,1,0,0.9003,True,0.55452806,High,6,120,Retain immediately,High churn risk and high value; anomaly flagged,High-touch voucher,No,
18026,2026-06-03T04:00:35+00:00,400,2,2074.07,1037.035,12,United Kingdom,0.7826387349189929,1,High,1,0,0.9003,True,0.35223237,High,7,120,Retain immediately,High churn risk and high value; anomaly flagged,High-touch voucher,No,
16118,2026-06-03T04:00:35+00:00,552,1,4329.61,4329.61,41,United Kingdom,0.8371394105154519,1,High,1,0,0.9003,False,,High,8,105,Retain immediately,High churn risk and high value,High-touch voucher,No,
16067,2026-06-03T04:00:35+00:00,462,3,3395.29,1131.763333333333,60,United Kingdom,0.736033026590483,1,High,1,0,0.9003,False,,High,9,105,Retain immediately,High churn risk and high value,High-touch voucher,No,
13734,2026-06-03T04:00:35+00:00,408,4,2943.56,735.89,24,United Kingdom,0.7396208315968211,1,High,1,0,0.9003,False,,High,10,105,Retain immediately,High churn risk and high value,High-touch voucher,No,
12671,2026-06-03T04:00:35+00:00,506,1,2553.9700000000003,2553.9700000000003,45,Germany,0.7846827206754328,1,High,1,0,0.9003,False,,High,11,105,Retain immediately,High churn risk and high value,High-touch voucher,No,
12469,2026-06-03T04:00:35+00:00,422,2,2543.34,1271.67,76,Thailand,0.7689949940164007,1,High,1,0,0.9003,False,,High,12,105,Retain immediately,High churn risk and high value,High-touch voucher,No,
14938,2026-06-03T04:00:35+00:00,462,2,2291.87,1145.935,71,Channel Islands,0.8074553756893104,1,High,1,0,0.9003,False,,High,13,105,Retain immediately,High churn risk and high value,High-touch voucher,No,
18051,2026-06-03T04:00:35+00:00,534,7,2282.28,326.04,41,United Kingdom,0.7439984302974997,1,High,1,0,0.9003,False,,High,14,105,Retain immediately,High churn risk and high value,High-touch voucher,No,
15946,2026-06-03T04:00:35+00:00,402,3,2266.9,755.6333333333333,25,United Kingdom,0.7091864179843006,1,High,1,0,0.9003,False,,High,15,105,Retain immediately,High churn risk and high value,High-touch voucher,No,
13407,2026-06-03T04:00:35+00:00,478,3,2250.46,750.1533333333333,85,United Kingdom,0.7358137765009125,1,High,1,0,0.9003,False,,High,16,105,Retain immediately,High churn risk and high value,High-touch voucher,No,
13371,2026-06-03T04:00:35+00:00,405,2,2245.66,1122.83,75,United Kingdom,0.7142156264740572,1,High,1,0,0.9003,False,,High,17,105,Retain immediately,High churn risk and high value,High-touch voucher,No,
15538,2026-06-03T04:00:35+00:00,437,6,2080.7,346.7833333333333,3,United Kingdom,0.769790356771825,1,High,1,0,0.9003,False,,High,18,105,Retain immediately,High churn risk and high value,High-touch voucher,No,
17039,2026-06-03T04:00:35+00:00,504,1,1944.99,1944.99,44,United Kingdom,0.840211734719063,1,High,1,0,0.9003,True,0.7436277,Medium,19,105,Win-back campaign,"High churn risk, lower value; anomaly flagged",Light discount,No,
